molid,identifiere,MWC01,MWC02,MWC03,MWC04,MWC05,MWC06,MWC07,MWC08,MWC09,MWC10,TWC,SRW01,SRW02,SRW03,SRW04,SRW05,SRW06,SRW07,SRW08,SRW09,SRW10,MPC01,MPC02,MPC03,MPC04,MPC05,MPC06,MPC07,MPC08,MPC09,MPC10,piPC01,piPC02,piPC03,piPC04,piPC05,piPC06,piPC07,piPC08,piPC09,piPC10,TPC,piID,PCR,PCD,CID,BID
905,C6H14O,6.0,3.367,4.0430000000000001,4.8440000000000003,5.5490000000000004,6.3540000000000001,7.0640000000000001,7.8710000000000004,8.5809999999999995,9.3879999999999999,70.061000000000007,7.0,12.0,0.0,44.0,0.0,192.0,0.0,868.0,0.0,3952.0,6.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.946,2.1970000000000001,1.946,0.69299999999999995,0.0,0.0,0.0,0.0,0.0,0.0,13.782,13.782,1.0,0.0,12.443,7.6440000000000001
906,C4H4N2,6.0,3.2189999999999999,3.8919999999999999,4.5750000000000002,5.2629999999999999,5.9530000000000003,6.6449999999999996,7.3380000000000001,8.0299999999999994,8.7230000000000008,65.638000000000005,6.0,12.0,0.0,36.0,0.0,132.0,0.0,516.0,0.0,2052.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.3029999999999999,2.6739999999999999,3.056,3.4460000000000002,3.8410000000000002,0.0,0.0,0.0,0.0,0.0,15.73,21.32,1.355,5.5899999999999999,11.813000000000001,6.75
907,C6H14O2,7.0,3.6640000000000001,4.3940000000000001,5.2729999999999997,6.0750000000000002,6.9249999999999998,7.7489999999999997,8.5879999999999992,9.4190000000000005,10.255000000000001,77.341999999999999,8.0,14.0,0.0,62.0,0.0,308.0,0.0,1598.0,0.0,8414.0,7.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0790000000000002,2.5649999999999999,2.3029999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.946999999999999,14.946999999999999,1.0,0.0,14.063000000000001,8.6649999999999991
908,C11H10O,13.0,4.1109999999999998,4.9340000000000002,5.7779999999999996,6.6210000000000004,7.4710000000000001,8.3200000000000003,9.1709999999999994,10.021000000000001,10.872999999999999,92.302000000000007,12.0,26.0,0.0,94.0,0.0,422.0,0.0,2086.0,0.0,10806.0,13.0,17.0,22.0,27.0,34.0,29.0,26.0,22.0,19.0,5.0,2.9700000000000002,3.597,4.2380000000000004,4.8440000000000003,5.4550000000000001,5.6239999999999997,5.9009999999999998,6.1609999999999996,6.4089999999999998,5.0419999999999998,43.271000000000001,66.596999999999994,1.5389999999999999,23.326000000000001,24.535,12.459
909,C8H14O2,9.0,3.6110000000000002,4.234,4.9199999999999999,5.5650000000000004,6.2560000000000002,6.9089999999999998,7.601,8.2579999999999991,8.9510000000000005,75.305000000000007,10.0,18.0,0.0,54.0,0.0,180.0,0.0,630.0,0.0,2268.0,9.0,9.0,7.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,2.4849999999999999,2.6389999999999998,2.4849999999999999,2.3980000000000001,2.3029999999999999,2.3980000000000001,2.1970000000000001,1.946,0.0,0.0,24.516999999999999,28.850000000000001,1.177,4.3339999999999996,18.663,10.32
910,C5H7N,6.0,3.2959999999999998,4.0069999999999997,4.7619999999999996,5.4930000000000003,6.2519999999999998,6.9889999999999999,7.7469999999999999,8.4879999999999995,9.2439999999999998,68.278000000000006,6.0,12.0,0.0,40.0,10.0,150.0,84.0,592.0,504.0,2412.0,6.0,7.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.3029999999999999,2.8330000000000002,3.1349999999999998,3.6110000000000002,2.1970000000000001,0.0,0.0,0.0,0.0,0.0,15.282999999999999,20.079000000000001,1.3140000000000001,4.7969999999999997,11.574999999999999,6.8479999999999999
911,C7H6O3,10.0,3.8500000000000001,4.6349999999999998,5.4509999999999996,6.2599999999999998,7.077,7.891,8.7089999999999996,9.5239999999999991,10.342000000000001,83.738,10.0,20.0,0.0,72.0,0.0,314.0,0.0,1488.0,0.0,7330.0,10.0,13.0,15.0,15.0,17.0,11.0,4.0,0.0,0.0,0.0,2.7080000000000002,3.2389999999999999,3.7440000000000002,4.141,4.6219999999999999,4.4470000000000001,3.8940000000000001,0.0,0.0,0.0,27.567,36.793999999999997,1.335,9.2270000000000003,19.399000000000001,10.497999999999999
912,C10H12O3,13.0,4.1109999999999998,4.9199999999999999,5.7590000000000003,6.5940000000000003,7.4379999999999997,8.2789999999999999,9.1229999999999993,9.9649999999999999,10.808999999999999,92.997,13.0,26.0,0.0,94.0,0.0,416.0,0.0,2014.0,0.0,10206.0,13.0,17.0,21.0,23.0,26.0,23.0,16.0,4.0,1.0,0.0,2.8900000000000001,3.4180000000000001,3.9369999999999998,4.3739999999999997,4.8520000000000003,4.9130000000000003,4.8289999999999997,3.4460000000000002,2.1509999999999998,0.0,36.408000000000001,47.808999999999997,1.3129999999999999,11.401,25.277000000000001,13.397
913,C11H22O,11.0,3.7610000000000001,4.3940000000000001,5.0430000000000001,5.694,6.351,7.008,7.6680000000000001,8.3279999999999994,8.9900000000000002,80.236999999999995,12.0,22.0,0.0,62.0,0.0,196.0,0.0,654.0,0.0,2252.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,2.5649999999999999,2.4849999999999999,2.3980000000000001,2.3029999999999999,2.1970000000000001,2.0790000000000002,1.946,1.792,1.609,1.3859999999999999,31.986999999999998,33.859000000000002,1.0589999999999999,1.8720000000000001,22.829000000000001,12.254
914,C8H7Br,9.0,3.6640000000000001,4.3940000000000001,5.1529999999999996,5.9050000000000002,6.673,7.431,8.2010000000000005,8.9589999999999996,9.7300000000000004,78.109999999999999,9.0,18.0,0.0,58.0,0.0,228.0,0.0,978.0,0.0,4358.0,9.0,10.0,11.0,12.0,12.0,6.0,4.0,2.0,0.0,0.0,2.6389999999999998,3.0680000000000001,3.5190000000000001,3.9729999999999999,4.3719999999999999,3.911,3.944,3.4460000000000002,0.0,0.0,25.969000000000001,37.871000000000002,1.458,11.901999999999999,17.701000000000001,9.4920000000000009
