molID,identifier,"('THREEDMORSE', 'Mor04v')","('TOPOLOGICAL', 'MAXDN')","('THREEDMORSE', 'Mor32m')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('GEOMETRICAL', 'AROM')","('THREEDMORSE', 'Mor25m')","('EIGENVALUE_INDICES', 'SEige')","('ATOMCENTRED_FRAGMENTS', 'C-027')","('GEOMETRICAL', 'DISPm')","('THREEDMORSE', 'Mor08v')","('GETAWAY', 'R1e+')","('THREEDMORSE', 'Mor25e')","('GETAWAY', 'HATS6m')","('EDGE_ADJACENCY_INDICES', 'EEig11r')","('BURDEN_EIGENVALUES_DESCRIPTORS', 'BELm8')","('GEOMETRICAL', 'DISPe')","('WHIM', 'P1s')","('ATOMCENTRED_FRAGMENTS', 'C-040')","('CONSTITUTIONAL', 'nBnz')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('TOPOLOGICAL_CHARGE_INDICES', 'JGT')","('FUNCTIONAL_GROUP_COUNTS', 'nArOH')","('EDGE_ADJACENCY_INDICES', 'EEig12x')","('ATOMCENTRED_FRAGMENTS', 'N-075')","('FUNCTIONAL_GROUP_COUNTS', 'nRCOOH')","('FUNCTIONAL_GROUP_COUNTS', 'nCp')","('GETAWAY', 'R2p')","('TOPOLOGICAL', 'Jhetm')","('WHIM', 'G1m')","('GEOMETRICAL', 'SPAM')","('CONSTITUTIONAL', 'nDB')","('GETAWAY', 'R2m+')"
623,none,0.38900000000000001,2.3610000000000002,-0.041000000000000002,1.0,0.0,-0.11,0.49299999999999999,0.0,11.291,-0.14199999999999999,0.20499999999999999,0.56100000000000005,0.051999999999999998,-0.91500000000000004,0.56100000000000005,0.45100000000000001,0.92000000000000004,1.0,0.0,0.59999999999999998,0.56799999999999995,0.0,0.0,0.0,1.0,3.0,0.60299999999999998,3.5550000000000002,0.16900000000000001,0.443,2.0,0.10100000000000001
624,none,-1.363,0.65100000000000002,-0.14599999999999999,0.0,0.94099999999999995,0.41999999999999998,0.63500000000000001,0.0,2.3860000000000001,0.33000000000000002,0.13,1.1040000000000001,0.065000000000000002,-0.60799999999999998,0.27600000000000002,0.02,0.91400000000000003,0.0,0.0,0.56100000000000005,0.21099999999999999,0.0,-0.11799999999999999,0.0,0.0,0.0,0.89700000000000002,2.5640000000000001,1.0,0.49099999999999999,0.0,0.055
625,none,-0.19600000000000001,1.9390000000000001,-0.052999999999999999,0.0,0.0,0.070000000000000007,0.49299999999999999,0.0,10.470000000000001,0.033000000000000002,0.112,0.71699999999999997,0.036999999999999998,-0.61899999999999999,0.71299999999999997,0.35299999999999998,0.88600000000000001,1.0,0.0,0.875,0.26400000000000001,0.0,-0.71399999999999997,0.0,0.0,2.0,0.68999999999999995,3.5870000000000002,0.16400000000000001,0.46400000000000002,3.0,0.032000000000000001
626,none,-0.39700000000000002,0.67200000000000004,0.155,0.0,0.93799999999999994,0.070000000000000007,0.27600000000000002,1.0,4.3600000000000003,-0.245,0.14599999999999999,0.13700000000000001,0.028000000000000001,0.0,0.0,0.073999999999999996,0.71899999999999997,0.0,0.0,1.125,0.53400000000000003,0.0,0.0,2.0,0.0,3.0,0.61399999999999999,3.2559999999999998,0.183,0.435,0.0,0.035999999999999997
627,none,-0.51100000000000001,0.66400000000000003,0.158,0.0,0.93799999999999994,0.070999999999999994,0.27600000000000002,1.0,5.899,-0.218,0.14499999999999999,0.14299999999999999,0.031,0.0,0.0,0.104,0.64600000000000002,0.0,0.0,1.125,0.50700000000000001,0.0,0.0,2.0,0.0,3.0,0.61499999999999999,3.2799999999999998,0.183,0.42699999999999999,0.0,0.042999999999999997
628,none,0.49299999999999999,1.1279999999999999,0.035000000000000003,0.0,0.0,-0.042000000000000003,0.247,0.0,4.8840000000000003,-0.112,0.252,0.52400000000000002,0.051999999999999998,0.0,0.42599999999999999,0.16500000000000001,0.74399999999999999,0.0,0.0,0.56299999999999994,0.372,0.0,0.0,0.0,0.0,3.0,0.57499999999999996,3.1419999999999999,0.17399999999999999,0.42799999999999999,0.0,0.025999999999999999
629,none,-0.52100000000000002,1.758,-0.031,1.0,0.0,0.048000000000000001,0.49299999999999999,0.0,12.013,-0.27900000000000003,0.28000000000000003,0.38200000000000001,0.017999999999999999,0.0,0.0,0.40899999999999997,0.71899999999999997,0.0,0.0,0.57099999999999995,0.495,0.0,0.0,0.0,0.0,1.0,0.64200000000000002,2.8959999999999999,0.224,0.45900000000000002,2.0,0.071999999999999995
630,none,-0.51800000000000002,2.2599999999999998,-0.044999999999999998,1.0,0.0,-0.13500000000000001,0.73999999999999999,0.0,14.659000000000001,-0.252,0.22700000000000001,0.184,0.029999999999999999,0.0,0.0,0.56200000000000006,0.66500000000000004,1.0,0.0,0.85699999999999998,0.53100000000000003,0.0,0.0,0.0,0.0,2.0,0.58799999999999997,3.097,0.188,0.45800000000000002,2.0,0.12
631,none,-0.33800000000000002,1.327,-0.22900000000000001,1.0,0.995,0.28599999999999998,0.247,0.0,10.022,-0.35099999999999998,0.23400000000000001,0.66000000000000003,0.045999999999999999,0.0,0.0,0.316,0.86399999999999999,0.0,1.0,0.5,0.47499999999999998,1.0,0.0,0.0,0.0,1.0,0.67500000000000004,2.9470000000000001,0.191,0.47599999999999998,0.0,0.066000000000000003
632,none,-0.60699999999999998,0.61299999999999999,-0.183,0.0,0.94099999999999995,0.13700000000000001,0.318,0.0,6.2380000000000004,0.23100000000000001,0.192,0.54400000000000004,0.023,0.0,0.0,0.20699999999999999,0.875,0.0,0.0,1.0580000000000001,0.28999999999999998,0.0,0.0,0.0,0.0,0.0,0.77100000000000002,3.2559999999999998,0.20000000000000001,0.51700000000000002,0.0,0.070999999999999994
