molid,identifiere,X0,X1,X2,X3,X4,X5,X0A,X1A,X2A,X3A,X4A,X5A,X0v,X1v,X2v,X3v,X4v,X5v,X0Av,X1Av,X2Av,X3Av,X4Av,X5Av,X0sol,X1sol,X2sol,X3sol,X4sol,X5sol,XMOD,RDCHI,RDSQ
983,C6H10O2,6.4059999999999997,3.77,2.8900000000000001,1.385,0.80300000000000005,0.433,0.80100000000000005,0.53900000000000003,0.41299999999999998,0.27700000000000002,0.20100000000000001,0.14399999999999999,4.9240000000000004,2.6379999999999999,1.478,0.69499999999999995,0.35099999999999998,0.155,0.61599999999999999,0.377,0.21099999999999999,0.13900000000000001,0.087999999999999995,0.051999999999999998,6.4059999999999997,3.77,2.8900000000000001,1.385,0.80300000000000005,0.433,23.774999999999999,1.909,25.922000000000001
984,C7H14O2,7.2759999999999998,4.1639999999999997,3.4849999999999999,1.9339999999999999,0.82199999999999995,0.68700000000000006,0.80800000000000005,0.52000000000000002,0.38700000000000001,0.27600000000000002,0.16400000000000001,0.13700000000000001,6.3079999999999998,3.298,2.3159999999999998,1.268,0.377,0.25900000000000001,0.70099999999999996,0.41199999999999998,0.25700000000000001,0.18099999999999999,0.074999999999999997,0.051999999999999998,7.2759999999999998,4.1639999999999997,3.4849999999999999,1.9339999999999999,0.82199999999999995,0.68700000000000006,26.469000000000001,1.9610000000000001,32.973999999999997
985,C7H14O2,7.2759999999999998,4.1639999999999997,3.5230000000000001,1.655,1.415,0.35399999999999998,0.80800000000000005,0.52000000000000002,0.39100000000000001,0.23599999999999999,0.20200000000000001,0.11799999999999999,6.3079999999999998,3.3370000000000002,2.2090000000000001,1.0620000000000001,0.749,0.14199999999999999,0.70099999999999996,0.41699999999999998,0.245,0.152,0.107,0.047,7.2759999999999998,4.1639999999999997,3.5230000000000001,1.655,1.415,0.35399999999999998,26.376999999999999,1.952,33.237000000000002
986,C7H14O3,7.9829999999999997,4.702,3.6429999999999998,2.2829999999999999,1.464,0.60399999999999998,0.79800000000000004,0.52200000000000002,0.36399999999999999,0.254,0.183,0.121,6.4619999999999997,3.452,2.2229999999999999,1.252,0.71099999999999997,0.28199999999999997,0.64600000000000002,0.38400000000000001,0.222,0.13900000000000001,0.088999999999999996,0.056000000000000001,7.9829999999999997,4.702,3.6429999999999998,2.2829999999999999,1.464,0.60399999999999998,30.481000000000002,2.0819999999999999,39.555
987,C8H16O3,8.6899999999999995,5.202,4.0229999999999997,2.3679999999999999,1.9079999999999999,0.63800000000000001,0.79000000000000004,0.52000000000000002,0.36599999999999999,0.23699999999999999,0.191,0.106,7.1689999999999996,4.0389999999999997,2.452,1.3300000000000001,0.84799999999999998,0.312,0.65200000000000002,0.40400000000000003,0.223,0.13300000000000001,0.085000000000000006,0.051999999999999998,8.6899999999999995,5.202,4.0229999999999997,2.3679999999999999,1.9079999999999999,0.63800000000000001,33.274000000000001,2.2229999999999999,45.817
988,C7H14O2,6.9500000000000002,4.4139999999999997,2.7679999999999998,1.7070000000000001,1.03,0.60399999999999998,0.77200000000000002,0.55200000000000005,0.39500000000000002,0.28499999999999998,0.20599999999999999,0.151,5.9290000000000003,3.4670000000000001,2.028,1.1839999999999999,0.66000000000000003,0.34200000000000003,0.65900000000000003,0.433,0.28999999999999998,0.19700000000000001,0.13200000000000001,0.085000000000000006,6.9500000000000002,4.4139999999999997,2.7679999999999998,1.7070000000000001,1.03,0.60399999999999998,28.192,2.1499999999999999,30.132000000000001
989,C4H6O2,4.569,2.7879999999999998,2.6819999999999999,1.609,1.1379999999999999,0.0,0.76100000000000001,0.46500000000000002,0.33500000000000002,0.20100000000000001,0.19,0.0,3.601,1.9830000000000001,1.5049999999999999,0.78700000000000003,0.36599999999999999,0.0,0.59999999999999998,0.33100000000000002,0.188,0.098000000000000004,0.060999999999999999,0.0,4.569,2.7879999999999998,2.6819999999999999,1.609,1.1379999999999999,0.0,18.120000000000001,1.728,20.945
990,C4H6O2,4.569,2.7879999999999998,2.6819999999999999,1.609,1.1379999999999999,0.0,0.76100000000000001,0.46500000000000002,0.33500000000000002,0.20100000000000001,0.19,0.0,3.601,1.9830000000000001,1.5049999999999999,0.78700000000000003,0.36599999999999999,0.0,0.59999999999999998,0.33100000000000002,0.188,0.098000000000000004,0.060999999999999999,0.0,4.569,2.7879999999999998,2.6819999999999999,1.609,1.1379999999999999,0.0,18.120000000000001,1.728,20.945
991,C7H16,5.5359999999999996,3.4140000000000001,2.0609999999999999,1.2070000000000001,0.67700000000000005,0.35399999999999998,0.79100000000000004,0.56899999999999995,0.41199999999999998,0.30199999999999999,0.22600000000000001,0.17699999999999999,5.5359999999999996,3.4140000000000001,2.0609999999999999,1.2070000000000001,0.67700000000000005,0.35399999999999998,0.79100000000000004,0.56899999999999995,0.41199999999999998,0.30199999999999999,0.22600000000000001,0.17699999999999999,5.5359999999999996,3.4140000000000001,2.0609999999999999,1.2070000000000001,0.67700000000000005,0.35399999999999998,20.484999999999999,1.8400000000000001,19.782
992,C8H18,6.2430000000000003,3.9140000000000001,2.4140000000000001,1.4570000000000001,0.85399999999999998,0.47899999999999998,0.78000000000000003,0.55900000000000005,0.40200000000000002,0.29099999999999998,0.21299999999999999,0.16,6.2430000000000003,3.9140000000000001,2.4140000000000001,1.4570000000000001,0.85399999999999998,0.47899999999999998,0.78000000000000003,0.55900000000000005,0.40200000000000002,0.29099999999999998,0.21299999999999999,0.16,6.2430000000000003,3.9140000000000001,2.4140000000000001,1.4570000000000001,0.85399999999999998,0.47899999999999998,23.484999999999999,1.9970000000000001,24.823
993,C9H20,6.9500000000000002,4.4139999999999997,2.7679999999999998,1.7070000000000001,1.03,0.60399999999999998,0.77200000000000002,0.55200000000000005,0.39500000000000002,0.28499999999999998,0.20599999999999999,0.151,6.9500000000000002,4.4139999999999997,2.7679999999999998,1.7070000000000001,1.03,0.60399999999999998,0.77200000000000002,0.55200000000000005,0.39500000000000002,0.28499999999999998,0.20599999999999999,0.151,6.9500000000000002,4.4139999999999997,2.7679999999999998,1.7070000000000001,1.03,0.60399999999999998,26.484999999999999,2.1499999999999999,30.132000000000001
