molid,identifiere,GGI1,GGI2,GGI3,GGI4,GGI5,GGI6,GGI7,GGI8,GGI9,GGI10,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,JGT
100,C10H12O2,2.5,1.333,0.68799999999999994,0.57299999999999995,0.26400000000000001,0.122,0.0,0.0,0.0,0.0,0.20799999999999999,0.088999999999999996,0.045999999999999999,0.051999999999999998,0.037999999999999999,0.029999999999999999,0.0,0.0,0.0,0.0,0.46300000000000002
101,C10H12O2,2.5,1.333,0.68799999999999994,0.57299999999999995,0.26400000000000001,0.122,0.0,0.0,0.0,0.0,0.20799999999999999,0.088999999999999996,0.045999999999999999,0.051999999999999998,0.037999999999999999,0.029999999999999999,0.0,0.0,0.0,0.0,0.46300000000000002
102,C8H14O2,3.0,1.333,0.625,0.32000000000000001,0.111,0.0,0.0,0.0,0.0,0.0,0.33300000000000002,0.121,0.063,0.040000000000000001,0.021999999999999999,0.0,0.0,0.0,0.0,0.0,0.57899999999999996
103,C14H20O,5.0,2.0,1.0,0.622,0.47199999999999998,0.223,0.215,0.073999999999999996,0.0,0.0,0.33300000000000002,0.095000000000000001,0.052999999999999999,0.041000000000000002,0.042999999999999997,0.028000000000000001,0.035999999999999997,0.010999999999999999,0.0,0.0,0.64000000000000001
104,C14H20O,5.0,2.0,1.0,0.622,0.47199999999999998,0.223,0.215,0.073999999999999996,0.0,0.0,0.33300000000000002,0.095000000000000001,0.052999999999999999,0.041000000000000002,0.042999999999999997,0.028000000000000001,0.035999999999999997,0.010999999999999999,0.0,0.0,0.64000000000000001
105,C13H22O2,4.5,1.333,0.5,0.46200000000000002,0.43099999999999999,0.26400000000000001,0.113,0.13500000000000001,0.059999999999999998,0.0,0.29999999999999999,0.067000000000000004,0.031,0.039,0.042999999999999997,0.024,0.012999999999999999,0.027,0.014999999999999999,0.0,0.55800000000000005
106,C13H22O2,4.5,1.333,0.5,0.46200000000000002,0.43099999999999999,0.26400000000000001,0.113,0.13500000000000001,0.059999999999999998,0.0,0.29999999999999999,0.067000000000000004,0.031,0.039,0.042999999999999997,0.024,0.012999999999999999,0.027,0.014999999999999999,0.0,0.55800000000000005
107,C8H8O2,1.5,1.111,0.438,0.191,0.153,0.040000000000000001,0.0,0.0,0.0,0.0,0.14999999999999999,0.092999999999999999,0.040000000000000001,0.027,0.037999999999999999,0.040000000000000001,0.0,0.0,0.0,0.0,0.38800000000000001
108,C6H10O2,2.0,1.333,0.375,0.080000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.28599999999999998,0.16700000000000001,0.047,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.51900000000000002
109,C9H18O,0.5,0.222,0.125,0.080000000000000002,0.056000000000000001,0.041000000000000002,0.031,0.025000000000000001,0.0,0.0,0.056000000000000001,0.028000000000000001,0.017999999999999999,0.012999999999999999,0.010999999999999999,0.01,0.01,0.012,0.0,0.0,0.159
