molid,identifiere,ATS1m,ATS2m,ATS3m,ATS4m,ATS5m,ATS6m,ATS7m,ATS8m,ATS1v,ATS2v,ATS3v,ATS4v,ATS5v,ATS6v,ATS7v,ATS8v,ATS1e,ATS2e,ATS3e,ATS4e,ATS5e,ATS6e,ATS7e,ATS8e,ATS1p,ATS2p,ATS3p,ATS4p,ATS5p,ATS6p,ATS7p,ATS8p,MATS1m,MATS2m,MATS3m,MATS4m,MATS5m,MATS6m,MATS7m,MATS8m,MATS1v,MATS2v,MATS3v,MATS4v,MATS5v,MATS6v,MATS7v,MATS8v,MATS1e,MATS2e,MATS3e,MATS4e,MATS5e,MATS6e,MATS7e,MATS8e,MATS1p,MATS2p,MATS3p,MATS4p,MATS5p,MATS6p,MATS7p,MATS8p,GATS1m,GATS2m,GATS3m,GATS4m,GATS5m,GATS6m,GATS7m,GATS8m,GATS1v,GATS2v,GATS3v,GATS4v,GATS5v,GATS6v,GATS7v,GATS8v,GATS1e,GATS2e,GATS3e,GATS4e,GATS5e,GATS6e,GATS7e,GATS8e,GATS1p,GATS2p,GATS3p,GATS4p,GATS5p,GATS6p,GATS7p,GATS8p
14,C13H24O2,2.7719999999999998,2.9500000000000002,3.012,2.871,2.7719999999999998,2.6150000000000002,2.2330000000000001,1.8460000000000001,2.605,2.661,2.6800000000000002,2.6070000000000002,2.605,2.4870000000000001,2.141,1.7070000000000001,2.7709999999999999,2.948,3.0099999999999998,2.8700000000000001,2.7709999999999999,2.6139999999999999,2.2330000000000001,1.845,2.593,2.641,2.6520000000000001,2.5859999999999999,2.593,2.4769999999999999,2.1349999999999998,1.696,-0.092999999999999999,0.26200000000000001,-0.32100000000000001,-0.23100000000000001,-0.092999999999999999,-0.037999999999999999,0.01,-0.076999999999999999,-0.092999999999999999,0.26200000000000001,-0.32100000000000001,-0.23100000000000001,-0.092999999999999999,-0.037999999999999999,0.01,-0.076999999999999999,-0.092999999999999999,0.26200000000000001,-0.32100000000000001,-0.23100000000000001,-0.092999999999999999,-0.037999999999999999,0.01,-0.076999999999999999,-0.092999999999999999,0.26200000000000001,-0.32100000000000001,-0.23100000000000001,-0.092999999999999999,-0.037999999999999999,0.01,-0.076999999999999999,0.86499999999999999,1.01,1.663,1.3460000000000001,0.86499999999999999,0.67300000000000004,0.505,0.80800000000000005,0.86499999999999999,1.01,1.663,1.3460000000000001,0.86499999999999999,0.67300000000000004,0.505,0.80800000000000005,0.86499999999999999,1.01,1.663,1.3460000000000001,0.86499999999999999,0.67300000000000004,0.505,0.80800000000000005,0.86499999999999999,1.01,1.663,1.3460000000000001,0.86499999999999999,0.67300000000000004,0.505,0.80800000000000005
15,C8H18O,2.2330000000000001,2.1200000000000001,1.992,1.8460000000000001,1.6739999999999999,1.466,1.204,0.84699999999999998,2.141,2.016,1.8740000000000001,1.7070000000000001,1.5069999999999999,1.256,0.92100000000000004,0.41299999999999998,2.2330000000000001,2.1200000000000001,1.992,1.845,1.673,1.4650000000000001,1.202,0.84499999999999997,2.1349999999999998,2.0089999999999999,1.865,1.696,1.494,1.24,0.89800000000000002,0.375,-0.016,-0.035999999999999997,-0.063,-0.10000000000000001,-0.156,-0.25,-0.438,-1.0,-0.016,-0.035999999999999997,-0.063,-0.10000000000000001,-0.156,-0.25,-0.437,-1.0,-0.016,-0.035999999999999997,-0.062,-0.10000000000000001,-0.156,-0.25,-0.438,-1.0,-0.016,-0.035999999999999997,-0.062,-0.10000000000000001,-0.156,-0.25,-0.438,-1.0,0.56299999999999994,0.64300000000000002,0.75,0.90000000000000002,1.125,1.5,2.25,4.5,0.56299999999999994,0.64300000000000002,0.75,0.90000000000000002,1.125,1.5,2.25,4.5,0.56299999999999994,0.64300000000000002,0.75,0.90000000000000002,1.125,1.5,2.25,4.5,0.56299999999999994,0.64300000000000002,0.75,0.90000000000000002,1.125,1.5,2.25,4.5
16,C5H12O,1.8460000000000001,1.6739999999999999,1.466,1.204,0.84699999999999998,0.0,0.0,0.0,1.7070000000000001,1.5069999999999999,1.256,0.92100000000000004,0.41299999999999998,0.0,0.0,0.0,1.845,1.673,1.4650000000000001,1.202,0.84499999999999997,0.0,0.0,0.0,1.696,1.494,1.24,0.89800000000000002,0.375,0.0,0.0,0.0,-0.040000000000000001,-0.10000000000000001,-0.20000000000000001,-0.40000000000000002,-1.0,0.0,0.0,0.0,-0.040000000000000001,-0.10000000000000001,-0.20000000000000001,-0.40000000000000002,-1.0,0.0,0.0,0.0,-0.040000000000000001,-0.10000000000000001,-0.20000000000000001,-0.40000000000000002,-1.0,0.0,0.0,0.0,-0.040000000000000001,-0.10000000000000001,-0.20000000000000001,-0.40000000000000002,-1.0,0.0,0.0,0.0,0.59999999999999998,0.75,1.0,1.5,3.0,0.0,0.0,0.0,0.59999999999999998,0.75,1.0,1.5,3.0,0.0,0.0,0.0,0.59999999999999998,0.75,1.0,1.5,3.0,0.0,0.0,0.0,0.59999999999999998,0.75,1.0,1.5,3.0,0.0,0.0,0.0
17,C8H10O,2.335,2.5390000000000001,2.367,1.897,1.204,0.0,0.0,0.0,2.2530000000000001,2.3999999999999999,2.2000000000000002,1.6140000000000001,0.92100000000000004,0.0,0.0,0.0,2.335,2.5379999999999998,2.3660000000000001,1.895,1.202,0.0,0.0,0.0,2.246,2.3900000000000001,2.1869999999999998,1.591,0.89800000000000002,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.438,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.437,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.438,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.438,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0
18,C8H10O,2.335,2.5390000000000001,2.367,1.897,1.204,0.0,0.0,0.0,2.2530000000000001,2.3999999999999999,2.2000000000000002,1.6140000000000001,0.92100000000000004,0.0,0.0,0.0,2.335,2.5379999999999998,2.3660000000000001,1.895,1.202,0.0,0.0,0.0,2.246,2.3900000000000001,2.1869999999999998,1.591,0.89800000000000002,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.438,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.437,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.438,0.0,0.0,0.0,0.0,-0.080000000000000002,-0.125,-0.32500000000000001,-0.438,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0,0.5,0.81799999999999995,1.0,1.8,2.25,0.0,0.0,0.0
19,C3H8O,1.466,1.204,0.84699999999999998,0.0,0.0,0.0,0.0,0.0,1.256,0.92100000000000004,0.41299999999999998,0.0,0.0,0.0,0.0,0.0,1.4650000000000001,1.202,0.84499999999999997,0.0,0.0,0.0,0.0,0.0,1.24,0.89800000000000002,0.375,0.0,0.0,0.0,0.0,0.0,-0.111,-0.33300000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-0.111,-0.33300000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-0.111,-0.33300000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-0.111,-0.33300000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.66700000000000004,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.66700000000000004,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.66700000000000004,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.66700000000000004,1.0,2.0,0.0,0.0,0.0,0.0,0.0
20,C10H18O,2.6150000000000002,3.1349999999999998,2.7509999999999999,2.0790000000000002,1.099,0.0,0.0,0.0,2.4870000000000001,2.8940000000000001,2.641,2.0790000000000002,1.099,0.0,0.0,0.0,2.6139999999999999,3.1339999999999999,2.7509999999999999,2.0790000000000002,1.099,0.0,0.0,0.0,2.4769999999999999,2.875,2.633,2.0790000000000002,1.099,0.0,0.0,0.0,-0.083000000000000004,-0.23000000000000001,-0.057000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.083000000000000004,-0.23000000000000001,-0.057000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.083000000000000004,-0.23000000000000001,-0.057000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.083000000000000004,-0.23000000000000001,-0.057000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.91700000000000004,1.6499999999999999,0.78600000000000003,0.0,0.0,0.0,0.0,0.0,0.91700000000000004,1.6499999999999999,0.78600000000000003,0.0,0.0,0.0,0.0,0.0,0.91700000000000004,1.6499999999999999,0.78600000000000003,0.0,0.0,0.0,0.0,0.0,0.91700000000000004,1.6499999999999999,0.78600000000000003,0.0,0.0,0.0,0.0,0.0
21,C4H8O,1.6739999999999999,1.734,1.204,0.0,0.0,0.0,0.0,0.0,1.5069999999999999,1.3919999999999999,0.92100000000000004,0.0,0.0,0.0,0.0,0.0,1.673,1.732,1.202,0.0,0.0,0.0,0.0,0.0,1.494,1.363,0.89800000000000002,0.0,0.0,0.0,0.0,0.0,-0.062,-0.375,-0.375,0.0,0.0,0.0,0.0,0.0,-0.063,-0.375,-0.375,0.0,0.0,0.0,0.0,0.0,-0.062,-0.375,-0.375,0.0,0.0,0.0,0.0,0.0,-0.062,-0.375,-0.375,0.0,0.0,0.0,0.0,0.0,0.625,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.625,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.625,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.625,1.25,1.25,0.0,0.0,0.0,0.0,0.0
22,C7H14O,2.1200000000000001,2.1589999999999998,1.8460000000000001,1.6739999999999999,1.466,1.204,0.0,0.0,2.016,1.9490000000000001,1.7070000000000001,1.5069999999999999,1.256,0.92100000000000004,0.0,0.0,2.1200000000000001,2.1579999999999999,1.845,1.673,1.4650000000000001,1.202,0.0,0.0,2.0089999999999999,1.9330000000000001,1.696,1.494,1.24,0.89800000000000002,0.0,0.0,-0.02,-0.184,-0.085999999999999993,-0.14299999999999999,-0.23799999999999999,-0.42899999999999999,0.0,0.0,-0.02,-0.184,-0.085999999999999993,-0.14299999999999999,-0.23799999999999999,-0.42899999999999999,0.0,0.0,-0.02,-0.184,-0.085999999999999993,-0.14299999999999999,-0.23799999999999999,-0.42899999999999999,0.0,0.0,-0.02,-0.184,-0.085999999999999993,-0.14299999999999999,-0.23799999999999999,-0.42899999999999999,0.0,0.0,0.57099999999999995,1.143,0.80000000000000004,1.0,1.333,2.0,0.0,0.0,0.57099999999999995,1.143,0.80000000000000004,1.0,1.333,2.0,0.0,0.0,0.57099999999999995,1.143,0.80000000000000004,1.0,1.333,2.0,0.0,0.0,0.57099999999999995,1.143,0.80000000000000004,1.0,1.333,2.0,0.0,0.0
23,C6H12O,1.992,2.0369999999999999,1.6739999999999999,1.466,1.204,0.0,0.0,0.0,1.8740000000000001,1.796,1.5069999999999999,1.256,0.92100000000000004,0.0,0.0,0.0,1.992,2.0350000000000001,1.673,1.4650000000000001,1.202,0.0,0.0,0.0,1.865,1.776,1.494,1.24,0.89800000000000002,0.0,0.0,0.0,-0.028000000000000001,-0.222,-0.125,-0.222,-0.41699999999999998,0.0,0.0,0.0,-0.028000000000000001,-0.222,-0.125,-0.222,-0.41699999999999998,0.0,0.0,0.0,-0.028000000000000001,-0.222,-0.125,-0.222,-0.41699999999999998,0.0,0.0,0.0,-0.028000000000000001,-0.222,-0.125,-0.222,-0.41699999999999998,0.0,0.0,0.0,0.58299999999999996,1.167,0.875,1.167,1.75,0.0,0.0,0.0,0.58299999999999996,1.167,0.875,1.167,1.75,0.0,0.0,0.0,0.58299999999999996,1.167,0.875,1.167,1.75,0.0,0.0,0.0,0.58299999999999996,1.167,0.875,1.167,1.75,0.0,0.0,0.0
24,C6H10O,1.992,1.992,1.897,1.466,0.84699999999999998,0.0,0.0,0.0,1.8740000000000001,1.8740000000000001,1.6140000000000001,1.256,0.41299999999999998,0.0,0.0,0.0,1.992,1.992,1.895,1.4650000000000001,0.84499999999999997,0.0,0.0,0.0,1.865,1.865,1.591,1.24,0.375,0.0,0.0,0.0,-0.028000000000000001,-0.028000000000000001,-0.29999999999999999,-0.222,-1.0,0.0,0.0,0.0,-0.028000000000000001,-0.028000000000000001,-0.29999999999999999,-0.222,-1.0,0.0,0.0,0.0,-0.028000000000000001,-0.028000000000000001,-0.29999999999999999,-0.222,-1.0,0.0,0.0,0.0,-0.028000000000000001,-0.028000000000000001,-0.29999999999999999,-0.222,-1.0,0.0,0.0,0.0,0.58299999999999996,0.58299999999999996,1.3999999999999999,1.167,3.5,0.0,0.0,0.0,0.58299999999999996,0.58299999999999996,1.3999999999999999,1.167,3.5,0.0,0.0,0.0,0.58299999999999996,0.58299999999999996,1.3999999999999999,1.167,3.5,0.0,0.0,0.0,0.58299999999999996,0.58299999999999996,1.3999999999999999,1.167,3.5,0.0,0.0,0.0
25,C8H16O,2.2330000000000001,2.2679999999999998,1.992,1.8460000000000001,1.6739999999999999,1.466,1.204,0.0,2.141,2.0819999999999999,1.8740000000000001,1.7070000000000001,1.5069999999999999,1.256,0.92100000000000004,0.0,2.2330000000000001,2.2669999999999999,1.992,1.845,1.673,1.4650000000000001,1.202,0.0,2.1349999999999998,2.0680000000000001,1.865,1.696,1.494,1.24,0.89800000000000002,0.0,-0.016,-0.156,-0.063,-0.10000000000000001,-0.156,-0.25,-0.438,0.0,-0.016,-0.156,-0.063,-0.10000000000000001,-0.156,-0.25,-0.437,0.0,-0.016,-0.156,-0.062,-0.10000000000000001,-0.156,-0.25,-0.438,0.0,-0.016,-0.156,-0.062,-0.10000000000000001,-0.156,-0.25,-0.438,0.0,0.56299999999999994,1.125,0.75,0.90000000000000002,1.125,1.5,2.25,0.0,0.56299999999999994,1.125,0.75,0.90000000000000002,1.125,1.5,2.25,0.0,0.56299999999999994,1.125,0.75,0.90000000000000002,1.125,1.5,2.25,0.0,0.56299999999999994,1.125,0.75,0.90000000000000002,1.125,1.5,2.25,0.0
