molID,identifier,"('TOPOLOGICAL', 'TI2')","('WALK_PATH_COUNTS', 'MPC04')","('CONNECTIVITY_INDICES', 'X2v')","('INFORMATION_INDICES', 'HVcpx')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('RDF', 'RDF110m')","('WHIM', 'G2v')","('GETAWAY', 'HATS2u')","('GETAWAY', 'HATS0p')","('GETAWAY', 'R4m+')","('GETAWAY', 'R2e')","('GETAWAY', 'R6p')","('GETAWAY', 'R6p')","('GETAWAY', 'RTp+')","('ATOMCENTRED_FRAGMENTS', 'H-049')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('MOLECULAR_PROPERTIES', 'Hy')","('MOLECULAR_PROPERTIES', 'TPSA(NO)')","('MOLECULAR_PROPERTIES', 'TPSA(Tot)')"
11,none,1.776,2.0,1.6479999999999999,1.97,0.69999999999999996,0.0,0.19700000000000001,0.55300000000000005,0.123,0.045999999999999999,1.7010000000000001,0.016,0.016,0.063,0.0,1.0,0.045999999999999999,37.299999999999997,37.299999999999997
12,none,1.776,2.0,1.6479999999999999,1.97,0.69999999999999996,0.0,0.19700000000000001,0.55300000000000005,0.123,0.045999999999999999,1.7010000000000001,0.016,0.016,0.063,0.0,1.0,0.045999999999999999,37.299999999999997,37.299999999999997
13,none,0.98599999999999999,28.0,4.4900000000000002,1.9930000000000001,0.0,0.0,0.20799999999999999,0.442,0.10199999999999999,0.025999999999999999,1.921,0.11799999999999999,0.11799999999999999,0.050000000000000003,0.0,0.0,-0.95999999999999996,0.0,0.0
14,none,3.798,15.0,3.903,2.9780000000000002,0.86499999999999999,0.10100000000000001,0.17299999999999999,0.34699999999999998,0.079000000000000001,0.028000000000000001,1.9890000000000001,0.316,0.316,0.050999999999999997,0.0,0.0,-0.84599999999999997,26.300000000000001,26.300000000000001
15,none,3.6850000000000001,5.0,2.4910000000000001,2.7749999999999999,0.56299999999999994,0.0050000000000000001,0.17399999999999999,0.41499999999999998,0.073999999999999996,0.0089999999999999993,1.8700000000000001,0.16300000000000001,0.16300000000000001,0.042000000000000003,0.0,0.0,-0.21299999999999999,20.23,20.23
16,none,2.488,2.0,1.431,2.2519999999999998,0.59999999999999998,0.0,0.193,0.58699999999999997,0.104,0.024,1.796,0.068000000000000005,0.068000000000000005,0.052999999999999999,0.0,0.0,0.0040000000000000001,20.23,20.23
17,none,1.659,12.0,2.0870000000000002,2.2000000000000002,0.5,0.0,0.191,0.48699999999999999,0.13800000000000001,0.047,1.5609999999999999,0.113,0.113,0.069000000000000006,0.0,0.0,-0.21299999999999999,20.23,20.23
18,none,1.659,12.0,2.0870000000000002,2.2000000000000002,0.5,0.0,0.25800000000000001,0.47899999999999998,0.13900000000000001,0.048000000000000001,1.546,0.114,0.114,0.070000000000000007,0.0,0.0,-0.21299999999999999,20.23,20.23
19,none,1.7070000000000001,0.0,0.72399999999999998,1.75,0.66700000000000004,0.0,0.218,0.86299999999999999,0.14799999999999999,0.0070000000000000001,1.796,0.0,0.0,0.060999999999999999,0.0,0.0,0.32300000000000001,20.23,20.23
20,none,1.3400000000000001,33.0,4.7709999999999999,2.0819999999999999,0.91700000000000004,0.0,0.25,0.42699999999999999,0.091999999999999998,0.017000000000000001,2.0449999999999999,0.19,0.19,0.050999999999999997,0.0,0.0,-0.877,9.2300000000000004,9.2300000000000004
