molid,identifiere,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,LAI,GVWAI-80,GVWAI-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50,BLTF96,BLTD48,BLTA96,ALOGPS_logP,ALOGPS_logS
294,C14H12O2,3.8069999999999999,-0.35199999999999998,62.595999999999997,37.299999999999997,37.299999999999997,2.702,7.2999999999999998,2.7240000000000002,7.4169999999999998,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-3.6899999999999999,-3.8900000000000001,-3.9300000000000002,2.6400000000000001,-2.5800000000000001
295,C13H10O,3.8069999999999999,-0.90500000000000003,56.634,17.07,17.07,3.5870000000000002,12.867000000000001,3.234,10.460000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-4.4400000000000004,-4.7300000000000004,-4.8200000000000003,3.0299999999999998,-3.6600000000000001
296,C11H11O3,3.1699999999999999,-0.76600000000000001,49.531999999999996,57.200000000000003,57.200000000000003,1.756,3.0830000000000002,0.81399999999999995,0.66300000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.8799999999999999,-2.9900000000000002,-2.9900000000000002,1.54,-2.3999999999999999
297,Mol.1 - Error,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0700000000000001,-0.60999999999999999
298,C14H12O2,3.8069999999999999,-0.85599999999999998,62.198,26.300000000000001,26.300000000000001,3.5139999999999998,12.347,3.2690000000000001,10.686,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-4.3799999999999999,-4.6600000000000001,-4.7400000000000002,3.4300000000000002,-4.0300000000000002
299,C11H14O2,3.0,-0.82199999999999995,51.253,26.300000000000001,26.300000000000001,2.6779999999999999,7.1689999999999996,2.7280000000000002,7.4400000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.6699999999999999,-3.8599999999999999,-3.9100000000000001,2.9300000000000002,-3.2000000000000002
300,C11H14O2,3.0,-0.82199999999999995,51.226999999999997,26.300000000000001,26.300000000000001,2.6779999999999999,7.1689999999999996,2.734,7.4749999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.6699999999999999,-3.8599999999999999,-3.9100000000000001,2.98,-3.02
301,C16H14O2,3.907,-0.873,72.516999999999996,26.300000000000001,26.300000000000001,3.6739999999999999,13.497,3.7370000000000001,13.962999999999999,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-4.5099999999999998,-4.8099999999999996,-4.9000000000000004,4.0300000000000002,-4.8499999999999996
302,C8H8O2,3.0,-0.76800000000000002,37.433,26.300000000000001,26.300000000000001,1.766,3.117,1.5580000000000001,2.4260000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8900000000000001,-3.0,-3.0,1.72,-1.79
303,C7H8S,2.8069999999999999,-0.158,39.000999999999998,0.0,38.799999999999997,2.6080000000000001,6.8019999999999996,2.1970000000000001,4.8259999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6099999999999999,-3.7999999999999998,-3.8399999999999999,2.3300000000000001,-2.5499999999999998
304,C15H14O2,3.8069999999999999,-0.86499999999999999,66.747,26.300000000000001,26.300000000000001,3.5019999999999998,12.263,3.3039999999999998,10.914,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-4.3700000000000001,-4.6500000000000004,-4.7300000000000004,3.7200000000000002,-4.3499999999999996
305,C10H12O2,3.0,-0.80700000000000005,46.652000000000001,26.300000000000001,26.300000000000001,2.3860000000000001,5.694,2.2719999999999998,5.1600000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.4199999999999999,-3.5899999999999999,-3.6200000000000001,2.4700000000000002,-2.6899999999999999
306,C14H12O3,3.8069999999999999,-0.314,63.892000000000003,46.530000000000001,46.530000000000001,3.4569999999999999,11.951000000000001,3.0019999999999998,9.0090000000000003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-4.3300000000000001,-4.5999999999999996,-4.6900000000000004,3.6600000000000001,-3.3100000000000001
307,C12H16O2,3.0,-0.83499999999999996,55.802,26.300000000000001,26.300000000000001,2.9590000000000001,8.7530000000000001,2.98,8.8770000000000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-3.8999999999999999,-4.1299999999999999,-4.1900000000000004,3.3500000000000001,-3.54
308,C10H18O,0.0,-0.29399999999999998,45.314,20.23,20.23,2.5019999999999998,6.2619999999999996,1.9750000000000001,3.9020000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.52,-3.7000000000000002,-3.73,2.8300000000000001,-2.2799999999999998
