molid,identifiere,ISIZ,IAC,AAC,IDE,IDM,IDDE,IDDM,IDET,IDMT,IVDE,IVDM,HVcpx,HDcpx,Uindex,Vindex,Xindex,Yindex,IC0,TIC0,SIC0,CIC0,BIC0,IC1,TIC1,SIC1,CIC1,BIC1,IC2,TIC2,SIC2,CIC2,BIC2,IC3,TIC3,SIC3,CIC3,BIC3,IC4,TIC4,SIC4,CIC4,BIC4,IC5,TIC5,SIC5,CIC5,BIC5
1005,C6H10O2,75.058999999999997,24.329999999999998,1.3520000000000001,2.4620000000000002,4.5869999999999997,2.25,2.9689999999999999,68.938000000000002,362.37599999999998,1.4059999999999999,2.8959999999999999,2.4329999999999998,1.286,18.751999999999999,0.68000000000000005,1.038,1.8120000000000001,1.3520000000000001,24.329999999999998,0.32400000000000001,2.8180000000000001,0.318,2.6139999999999999,47.058999999999997,0.627,1.556,0.61499999999999999,3.0859999999999999,55.548999999999999,0.73999999999999999,1.0840000000000001,0.72599999999999998,3.0859999999999999,55.548999999999999,0.73999999999999999,1.0840000000000001,0.72599999999999998,3.0859999999999999,55.548999999999999,0.73999999999999999,1.0840000000000001,0.72599999999999998,2.7810000000000001,50.052,0.66700000000000004,1.389,0.65500000000000003
1006,C5H10O3,75.058999999999997,25.475000000000001,1.415,1.9770000000000001,4.6630000000000003,2.25,2.9670000000000001,55.344999999999999,312.38900000000001,1.5,2.8420000000000001,1.992,1.3069999999999999,18.183,0.92300000000000004,1.244,3.0819999999999999,1.415,25.475000000000001,0.33900000000000002,2.7549999999999999,0.33900000000000002,2.1019999999999999,37.838999999999999,0.504,2.0680000000000001,0.504,2.8220000000000001,50.793999999999997,0.67700000000000005,1.3480000000000001,0.67700000000000005,2.8220000000000001,50.793999999999997,0.67700000000000005,1.3480000000000001,0.67700000000000005,2.6600000000000001,47.881999999999998,0.63800000000000001,1.51,0.63800000000000001,1.988,35.780000000000001,0.47699999999999998,2.1819999999999999,0.47699999999999998
1007,C5H10O3,75.058999999999997,25.475000000000001,1.415,2.2080000000000002,4.6319999999999997,2.5,2.9700000000000002,61.835000000000001,328.88299999999998,1.5,2.8420000000000001,2.226,1.298,18.449999999999999,0.81999999999999995,1.1659999999999999,2.4510000000000001,1.415,25.475000000000001,0.33900000000000002,2.7549999999999999,0.33900000000000002,2.1019999999999999,37.838999999999999,0.504,2.0680000000000001,0.504,2.9329999999999998,52.793999999999997,0.70299999999999996,1.2370000000000001,0.70299999999999996,2.9329999999999998,52.793999999999997,0.70299999999999996,1.2370000000000001,0.70299999999999996,2.9329999999999998,52.793999999999997,0.70299999999999996,1.2370000000000001,0.70299999999999996,2.6080000000000001,46.951999999999998,0.626,1.5609999999999999,0.626
1008,C7H9N,69.486999999999995,21.306000000000001,1.2529999999999999,1.8919999999999999,4.6639999999999997,1.5609999999999999,2.984,52.979999999999997,284.49099999999999,1.5,2.9060000000000001,2.0350000000000001,1.3029999999999999,11.962999999999999,0.61199999999999999,0.83399999999999996,1.9450000000000001,1.2529999999999999,21.306000000000001,0.307,2.8340000000000001,0.28999999999999998,2.3799999999999999,40.466999999999999,0.58199999999999996,1.7070000000000001,0.55100000000000005,2.5419999999999998,43.222000000000001,0.622,1.5449999999999999,0.58799999999999997,2.7050000000000001,45.976999999999997,0.66200000000000003,1.383,0.626,2.7050000000000001,45.976999999999997,0.66200000000000003,1.383,0.626,2.7050000000000001,45.976999999999997,0.66200000000000003,1.383,0.626
1009,C7H10N2O,86.438999999999993,31.568000000000001,1.5780000000000001,2.2029999999999998,5.3330000000000002,2.3220000000000001,3.294,99.120000000000005,623.94500000000005,1.371,3.246,2.246,1.3959999999999999,16.452999999999999,0.55200000000000005,0.77000000000000002,1.7809999999999999,1.5780000000000001,31.568000000000001,0.36499999999999999,2.7440000000000002,0.34899999999999998,2.8220000000000001,56.439,0.65300000000000002,1.5,0.624,3.5459999999999998,70.929000000000002,0.82099999999999995,0.77500000000000002,0.78400000000000003,3.6459999999999999,72.929000000000002,0.84399999999999997,0.67500000000000004,0.80600000000000005,3.746,74.929000000000002,0.86699999999999999,0.57499999999999996,0.82799999999999996,3.746,74.929000000000002,0.86699999999999999,0.57499999999999996,0.82799999999999996
1010,C5H12O2S,86.438999999999993,29.809000000000001,1.49,2.2160000000000002,4.6349999999999998,2.5,2.964,62.042000000000002,333.73099999999999,1.4059999999999999,2.8959999999999999,2.246,1.3,18.341000000000001,0.81399999999999995,1.1499999999999999,2.4809999999999999,1.49,29.809000000000001,0.34499999999999997,2.831,0.35099999999999998,1.9710000000000001,39.418999999999997,0.45600000000000002,2.351,0.46400000000000002,3.0089999999999999,60.173999999999999,0.69599999999999995,1.3129999999999999,0.70799999999999996,3.0089999999999999,60.173999999999999,0.69599999999999995,1.3129999999999999,0.70799999999999996,3.0089999999999999,60.173999999999999,0.69599999999999995,1.3129999999999999,0.70799999999999996,2.7109999999999999,54.216000000000001,0.627,1.611,0.63800000000000001
1011,C6H10O4,86.438999999999993,29.710000000000001,1.4850000000000001,2.5459999999999998,5.2969999999999997,2.3220000000000001,3.286,114.556,715.10199999999998,1.522,3.1970000000000001,2.5419999999999998,1.389,26.954999999999998,0.76500000000000001,1.123,2.2389999999999999,1.4850000000000001,29.710000000000001,0.34399999999999997,2.8359999999999999,0.33800000000000002,2.161,43.219000000000001,0.5,2.161,0.49199999999999999,2.6459999999999999,52.929000000000002,0.61199999999999999,1.675,0.60299999999999998,2.6459999999999999,52.929000000000002,0.61199999999999999,1.675,0.60299999999999998,2.6459999999999999,52.929000000000002,0.61199999999999999,1.675,0.60299999999999998,2.6459999999999999,52.929000000000002,0.61199999999999999,1.675,0.60299999999999998
1012,C3H9O3P,64.0,25.960999999999999,1.623,1.95,4.2409999999999997,1.4490000000000001,2.7719999999999998,40.954000000000001,203.54900000000001,1.4490000000000001,2.6890000000000001,2.0009999999999999,1.244,14.558999999999999,0.89900000000000002,1.21,2.9329999999999998,1.623,25.960999999999999,0.40600000000000003,2.3769999999999998,0.41499999999999998,1.623,25.960999999999999,0.40600000000000003,2.3769999999999998,0.41499999999999998,1.623,25.960999999999999,0.40600000000000003,2.3769999999999998,0.41499999999999998,1.623,25.960999999999999,0.40600000000000003,2.3769999999999998,0.41499999999999998,1.371,21.934999999999999,0.34300000000000003,2.629,0.35099999999999998,0.81100000000000005,12.98,0.20300000000000001,3.1890000000000001,0.20799999999999999
1013,C7H12O3,98.106999999999999,30.681999999999999,1.395,2.661,5.2699999999999996,2.6459999999999999,3.2890000000000001,119.736,753.67700000000002,1.522,3.1970000000000001,2.609,1.3819999999999999,27.260000000000002,0.68899999999999995,1.052,1.8839999999999999,1.395,30.681999999999999,0.313,3.0649999999999999,0.308,2.7679999999999998,60.887999999999998,0.621,1.6919999999999999,0.61199999999999999,3.573,78.597999999999999,0.80100000000000005,0.88700000000000001,0.79000000000000004,3.754,82.597999999999999,0.84199999999999997,0.70499999999999996,0.82999999999999996,3.754,82.597999999999999,0.84199999999999997,0.70499999999999996,0.82999999999999996,3.754,82.597999999999999,0.84199999999999997,0.70499999999999996,0.82999999999999996
1014,C5H10O2S,75.058999999999997,28.23,1.5680000000000001,2.3639999999999999,4.6120000000000001,1.9059999999999999,2.9649999999999999,66.183999999999997,345.90300000000002,1.4059999999999999,2.8959999999999999,2.371,1.294,18.52,0.75600000000000001,1.103,2.165,1.5680000000000001,28.23,0.376,2.6019999999999999,0.376,2.3239999999999998,41.838999999999999,0.55700000000000005,1.8460000000000001,0.55700000000000005,3.419,61.548999999999999,0.81999999999999995,0.751,0.81999999999999995,3.419,61.548999999999999,0.81999999999999995,0.751,0.81999999999999995,3.419,61.548999999999999,0.81999999999999995,0.751,0.81999999999999995,3.2930000000000001,59.270000000000003,0.79000000000000004,0.877,0.79000000000000004
