molid,identifiere,W3D,J3D,H3D,AGDD,DDI,ADDD,G1,G2,RGyr,SPAN,SPAM,MEcc,SPH,ASP,FDI,PJI3,L/Bw,SEig,HOMA,RCI,AROM,HOMT,DISPm,QXXm,QYYm,QZZm,DISPv,QXXv,QYYv,QZZv,DISPe,QXXe,QYYe,QZZe,DISPp,QXXp,QYYp,QZZp,G(N..N),G(N..O),G(N..S),G(N..P),G(N..F),G(N..Cl),G(N..Br),G(N..I),G(O..O),G(O..S),G(O..P),G(O..F),G(O..Cl),G(O..Br),G(O..I),G(S..S),G(S..P),G(S..F),G(S..Cl),G(S..Br),G(S..I),G(P..P),G(P..F),G(P..Cl),G(P..Br),G(P..I),G(F..F),G(F..Cl),G(F..Br),G(F..I),G(Cl..Cl),G(Cl..Br),G(Cl..I),G(Br..Br),G(Br..I),G(I..I)
942,C10H18O,1532.8620000000001,4.2539999999999996,133.43799999999999,105.715,394.233,27.187999999999999,12.898,6.4630000000000001,2.4500000000000002,4.3689999999999998,0.38800000000000001,0.996,0.73899999999999999,0.42899999999999999,0.94499999999999995,0.754,4.6600000000000001,57.563000000000002,0.0,0.0,0.0,0.0,1.8899999999999999,18.268000000000001,64.614999999999995,71.759,2.3919999999999999,28.704000000000001,88.129000000000005,102.408,0.14199999999999999,68.298000000000002,180.42599999999999,207.916,0.20300000000000001,33.329999999999998,98.793000000000006,115.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
943,C10H18O,1521.73,4.2859999999999996,133.90000000000001,104.947,392.25700000000001,27.052,12.880000000000001,6.4630000000000001,2.452,4.3739999999999997,0.38800000000000001,0.996,0.63800000000000001,0.42899999999999999,0.94099999999999995,0.80000000000000004,4.71,57.338000000000001,0.0,0.0,0.0,0.0,1.899,18.52,64.462000000000003,71.930000000000007,2.5859999999999999,28.881,88.912000000000006,96.840999999999994,0.14799999999999999,68.742000000000004,182.98099999999999,198.31999999999999,0.217,33.517000000000003,99.852000000000004,108.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,C10H18O,1700.278,7.085,125.316,117.261,378.255,26.087,11.41,6.2130000000000001,2.9249999999999998,5.1020000000000003,0.41899999999999998,0.999,0.81599999999999995,0.46200000000000002,0.90800000000000003,0.85299999999999998,4.2000000000000002,57.317,0.0,0.0,0.0,0.0,4.8689999999999998,24.992000000000001,90.789000000000001,106.83499999999999,0.89300000000000002,35.759,112.559,134.89599999999999,0.19800000000000001,84.439999999999998,222.81800000000001,271.97899999999998,0.079000000000000001,41.143000000000001,124.367,149.72300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945,C10H18O,1685.846,7.1639999999999997,126.61799999999999,116.265,385.22399999999999,26.567,11.884,6.1890000000000001,2.8340000000000001,5.0730000000000004,0.41799999999999998,0.996,0.68899999999999995,0.55900000000000005,0.92500000000000004,0.76800000000000002,8.8200000000000003,56.603999999999999,0.0,0.0,0.0,0.0,3.6629999999999998,17.611000000000001,93.884,96.0,1.6659999999999999,28.373000000000001,128.17400000000001,131.614,0.14599999999999999,67.474999999999994,245.37700000000001,254.226,0.115,33.009,142.369,146.42599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,C10H18O,1691.0170000000001,7.1390000000000002,126.313,116.622,386.00799999999998,26.620999999999999,11.866,6.1890000000000001,2.8410000000000002,5.0919999999999996,0.41899999999999998,0.995,0.65600000000000003,0.55200000000000005,0.92700000000000005,0.76500000000000001,9.2599999999999998,56.454999999999998,0.0,0.0,0.0,0.0,3.1219999999999999,17.994,94.864999999999995,95.584000000000003,1.847,28.975000000000001,129.88900000000001,130.898,0.124,68.709999999999994,248.78700000000001,252.51400000000001,0.105,33.692,144.32499999999999,145.58699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,C10H18O2,1656.057,4.3369999999999997,139.60300000000001,110.404,416.51100000000002,27.766999999999999,15.287000000000001,7.25,2.3959999999999999,4.1230000000000002,0.371,0.97999999999999998,0.52300000000000002,0.254,0.93500000000000005,0.67300000000000004,3.3100000000000001,59.127000000000002,0.0,0.0,0.0,0.0,3.2250000000000001,27.331,65.441000000000003,70.823999999999998,3.173,40.558,90.188999999999993,98.646000000000001,0.112,91.265000000000001,181.03999999999999,197.37100000000001,0.20999999999999999,46.463000000000001,100.923,110.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,C10H18O2,1647.4369999999999,4.3579999999999997,139.96600000000001,109.82899999999999,415.31099999999998,27.687000000000001,15.323,7.25,2.3849999999999998,4.0090000000000003,0.36599999999999999,0.97899999999999998,0.51100000000000001,0.246,0.93200000000000005,0.73799999999999999,3.2400000000000002,59.301000000000002,0.0,0.0,0.0,0.0,2.1030000000000002,28.036000000000001,63.999000000000002,69.611000000000004,3.0310000000000001,41.210999999999999,87.322999999999993,96.694000000000003,0.125,92.129999999999995,178.053,194.02199999999999,0.23300000000000001,47.124000000000002,97.837000000000003,108.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,C10H18O2,1628.7950000000001,4.4100000000000001,140.791,108.586,412.07999999999998,27.472000000000001,15.285,7.258,2.4020000000000001,4.3040000000000003,0.379,0.98199999999999998,0.47999999999999998,0.26400000000000001,0.92500000000000004,0.89300000000000002,3.4199999999999999,59.017000000000003,0.0,0.0,0.0,0.0,2.1389999999999998,27.178999999999998,65.760000000000005,70.975999999999999,3.5249999999999999,42.679000000000002,83.875,92.921000000000006,0.11600000000000001,94.930000000000007,171.19200000000001,188.03800000000001,0.27100000000000002,49.039000000000001,93.355000000000004,103.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6789999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,C10H18O2,1640.309,4.3769999999999998,140.44900000000001,109.354,414.09300000000002,27.606000000000002,15.441000000000001,7.2560000000000002,2.3450000000000002,3.9430000000000001,0.36299999999999999,0.97599999999999998,0.46200000000000002,0.22800000000000001,0.93000000000000005,0.67700000000000005,3.1200000000000001,59.423999999999999,0.0,0.0,0.0,0.0,2.96,27.489999999999998,62.064999999999998,67.046999999999997,2.7989999999999999,40.661000000000001,88.275000000000006,93.768000000000001,0.10299999999999999,90.748999999999995,179.86199999999999,188.48599999999999,0.17999999999999999,46.508000000000003,99.281000000000006,105.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951,C10H16O,1471.3340000000001,6.5890000000000004,109.745,108.988,337.49900000000002,25.0,11.175000000000001,6.282,3.081,5.2770000000000001,0.442,1.0,0.83799999999999997,0.60999999999999999,0.93400000000000005,0.84799999999999998,6.6399999999999997,52.988999999999997,0.13400000000000001,0.0,0.0,0.40100000000000002,9.6470000000000002,21.366,105.746,121.44199999999999,3.6200000000000001,25.952000000000002,122.289,136.96000000000001,0.29599999999999999,59.473999999999997,232.72399999999999,263.39299999999997,0.16400000000000001,29.242999999999999,133.34100000000001,149.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
