molid,identifiere,MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nX,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,nBnz
888,C5H7SN,113.2,8.0899999999999999,8.8800000000000008,13.83,9.9399999999999995,14.17,0.63,0.98999999999999999,0.70999999999999996,2.02,14.0,7.0,14.0,7.0,5.0,9.5,0.71399999999999997,1.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
889,Mol.1 - Error,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
890,C7H12O2,128.19,6.0999999999999996,11.609999999999999,20.960000000000001,12.48,23.329999999999998,0.55000000000000004,1.0,0.58999999999999997,2.5899999999999999,21.0,9.0,20.0,8.0,2.0,10.0,0.0,0.0,0.0,3.0,0.14999999999999999,2.0,0.0,0.0,12.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
891,C19H38O2,298.56999999999999,5.0599999999999996,31.379999999999999,57.439999999999998,34.380000000000003,40.170000000000002,0.53000000000000003,0.96999999999999997,0.57999999999999996,1.9099999999999999,59.0,21.0,58.0,20.0,1.0,21.0,0.0,0.0,0.0,17.0,0.29299999999999998,1.0,0.0,0.0,38.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
892,C8H12O4,172.19999999999999,7.1699999999999999,13.630000000000001,24.609999999999999,14.390000000000001,35.329999999999998,0.56999999999999995,1.03,0.59999999999999998,2.9399999999999999,24.0,12.0,23.0,11.0,3.0,14.0,0.0,0.0,0.0,6.0,0.26100000000000001,3.0,0.0,0.0,12.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
893,C6H8O4,144.13999999999999,8.0099999999999998,10.44,18.84,10.859999999999999,32.329999999999998,0.57999999999999996,1.05,0.59999999999999998,3.23,18.0,10.0,17.0,9.0,3.0,12.0,0.0,0.0,0.0,4.0,0.23499999999999999,3.0,0.0,0.0,8.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
894,C9H12O,136.21000000000001,6.1900000000000004,13.1,21.629999999999999,14.02,22.670000000000002,0.59999999999999998,0.97999999999999998,0.64000000000000001,2.27,22.0,10.0,22.0,10.0,6.0,13.0,0.59999999999999998,1.0,1.0,1.0,0.044999999999999998,0.0,0.0,6.0,12.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
895,C11H22O2,186.33000000000001,5.3200000000000003,18.600000000000001,34.369999999999997,20.280000000000001,28.170000000000002,0.53000000000000003,0.97999999999999998,0.57999999999999996,2.1699999999999999,35.0,13.0,34.0,12.0,1.0,13.0,0.0,0.0,0.0,9.0,0.26500000000000001,1.0,0.0,0.0,22.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
896,C12H20O2,196.31999999999999,5.7699999999999996,19.0,33.490000000000002,20.52,31.25,0.56000000000000005,0.98999999999999999,0.59999999999999998,2.23,34.0,14.0,34.0,14.0,2.0,16.0,0.0,1.0,1.0,4.0,0.11799999999999999,2.0,0.0,0.0,20.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,C8H8O2,136.16,7.5599999999999996,11.41,18.190000000000001,11.949999999999999,25.829999999999998,0.63,1.01,0.66000000000000003,2.5800000000000001,18.0,10.0,18.0,10.0,7.0,14.0,0.59999999999999998,1.0,1.0,2.0,0.111,1.0,0.0,6.0,8.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
898,C10H12O3,180.22,7.21,15.119999999999999,25.280000000000001,15.93,32.5,0.59999999999999998,1.01,0.64000000000000001,2.5,25.0,13.0,25.0,13.0,7.0,17.0,0.46200000000000002,1.0,1.0,4.0,0.16,1.0,0.0,6.0,12.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
899,C10H14O,150.24000000000001,6.0099999999999998,14.699999999999999,24.510000000000002,15.779999999999999,23.75,0.58999999999999997,0.97999999999999998,0.63,2.1600000000000001,25.0,11.0,26.0,12.0,2.0,14.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,14.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,C13H10O3,214.22999999999999,8.2400000000000002,17.52,26.399999999999999,18.170000000000002,41.170000000000002,0.67000000000000004,1.02,0.69999999999999996,2.5699999999999998,26.0,16.0,27.0,17.0,13.0,24.0,0.70599999999999996,2.0,2.0,3.0,0.111,1.0,0.0,12.0,10.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
901,C12H22O2,198.34,5.5099999999999998,19.600000000000001,35.369999999999997,21.280000000000001,30.079999999999998,0.54000000000000004,0.97999999999999998,0.58999999999999997,2.1499999999999999,36.0,14.0,36.0,14.0,1.0,15.0,0.0,1.0,1.0,3.0,0.083000000000000004,1.0,0.0,0.0,22.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
